Q,A
What does AAEFS mean?,Alumni email forwarding service
What does AAO mean?,Alumni Affairs Office
What does ABCC mean?,Asian Business Case Centre
What does ACES mean?,Asian Commerce & Economic Studies Centre
What does ACI mean?,Institute on Asian Consumer Insight
What does ADM mean?,"School of Art, Design and Media"
What does AFRS mean?,Adjunct Faculty Report System
What does AHSS mean?,"Art, Humanities and Social Sciences"
What does AIMS mean?,Attachment and Information Management System
What does AIPB mean?,Annual Increment and Performance Bonus System (Faculty/Non-faculty)
What does AIPB_RES mean?,Annual Increment and Performance Bonus System (Research)
What does AMEC mean?,Advanced Manufacturing and Engineering Centre
What does ARS_RES mean?,Appraisal Ratings System (Research)
What does ASARS mean?,Faculty Appraisal Rating System
What does ASE mean?,Asian School of the Environment
What does ATS mean?,Asset Tracking System
What does AUS mean?,ACADEMIC UNIT SYSTEM
What does BG mean?,Staff Bungalow Booking System
What does BM mean?,Business & Management
What does BOS mean?,Equipment Write Off (Board of Survey)
What does CAS mean?,CAS can mean either Composite Admission Score for Undergraduate Admission/NTU-SBF Centre for African Studies.
What does CBSS mean?,Centre for Biomimetic Sensor Science
What does CBT mean?,Centre of Biotechnology
What does CCA mean?,Centre for Contemporary Art
What does CCLC mean?,Centre for Chinese Language & Culture
What does CCO mean?,Corporate Communications Office
What does CCPE mean?,Centre of Chiral & Pharmaceutical Engineering
What does CEDP mean?,China Executive Development Programmes
What does CEE mean?,School of Civil and Environmental Engineering
What does CES mean?,CITS Course Enrolment System
What does CFE mean?,Centre for Financial Engineering
What does CG mean?,Corporate Governance
What does CHESS mean?,Centre for Healthy and Sustainable Cities
What does CHILDCARE mean?,Unrecorded Childcare Leave
What does CIS mean?,Centre for Infrastructure Systems
What does CIS mean?,Chair Information System
What does CITS mean?,Centre for IT Services
What does CLASS mean?,Centre for Liberal Arts & Social Sciences
What does CLCI mean?,Centre for Leadership and Cultural Intelligence
What does CMC mean?,Course Management Centre
What does CML mean?,Centre for Modern Languages
What does COEB mean?,Centre for OptoElectronics and Biophotonics (COEB)
What does COFT mean?,Centre for Optical Fibre Technology
What does CRS mean?,Contract Renewal System
What does CReW mean?,Campus Recreation and Wellness Office
What does CSRF mean?,Centre for Strategic Research Facilities
What does CUS mean?,Centre for Usable Space
What does CareerMall mean?,Online jobsite
What does ClassAct mean?,A monthly e-zine for alumni and friends
What does CoB (NBS) mean?,College of Business (Nanyang Business School)
What does CoE mean?,College of Engineering
What does CoPaCE mean?,College of Professional and Continuing Education
What does CoS mean?,College of Science
What does DIP mean?,Design & Innovation Project
What does DIP.AIRPORT ENG. mean?,PG.DIP.IN AIRPORT ENGINEERING
What does DIP.COMM.SOFTWARE mean?,POSTGRADUATE DIP. IN COMMS. SOFTWARE
What does DIP.CONSTR.MGT. mean?,PG.DIP.IN CONSTRUCTION MANAGEMENT
What does DIP.MASS COMM. mean?,PG.DIP.IN MASS COMMUNICATION
What does DO mean?,Development Office
What does DSAIR mean?,Data Science and Artificial Intelligence Research Centre
What does Dean (CoS) mean?,Dean (CoS)
What does E.M.B.A. mean?,EXECUTIVE MBA PROGRAMME
What does E.M.B.A.(ENGLISH) mean?,EXECUTIVE MBA PROGRAMME (ENGLISH)
What does E.M.B.A.(Fulltime-C) mean?,EXECUTIVE MBA PROGRAMME (Fulltime-C)
